College_Name,State,District,UG_Fee,PG_Fee,Ratings,Academics,Accommodation,Faculty,Infrastructure,Placement,Social_Life,Gender,12th_Percentage,Entrance_Exam_Name,Entrance_Exam_Rank,Preferred_Stream,Preferred_Course,Scholarship_Status,Application_Start_Date,Application_End_Date,Contact,Email
SRM Institute,Uttar Pradesh,Noida,116372,387275,4.8,3,4,4,3,5,3,Male,84.6,NEET,3768,Medical,BDS,Yes,2025-02-15,2025-04-29,+918155593441,srminstitute@edu.in
IIT Delhi,Punjab,Chandigarh,164971,343977,3.9,4,3,3,5,5,4,Female,73.5,CET,34585,Commerce,BBA,Yes,2025-04-18,2025-06-19,+919272212257,iitdelhi@edu.in
IIT Delhi,Tamil Nadu,Chennai,149914,302789,3.5,3,5,3,5,5,3,Female,95.9,NEET,25903,Commerce,BCom,Yes,2025-05-08,2025-06-11,+918290512897,iitdelhi@edu.in
VIT Vellore,Uttar Pradesh,Lucknow,239649,102978,3.9,4,3,4,5,4,3,Male,72.6,CET,29174,Medical,BDS,No,2025-05-21,2025-07-25,+918232320431,vitvellore@edu.in
IIT Delhi,Rajasthan,Jaipur,215565,325553,3.5,3,5,4,4,3,5,Female,80.7,JEE,45330,Engineering,ECE,Yes,2025-01-02,2025-02-14,+917835124033,iitdelhi@edu.in
VIT Vellore,Karnataka,Mysore,130255,330152,3.8,3,4,3,5,4,3,Female,80.4,CUET,30799,Engineering,Civil,Yes,2025-05-13,2025-07-03,+917201907905,vitvellore@edu.in
Delhi University,Gujarat,Ahmedabad,183931,153948,3.6,3,3,5,3,5,5,Male,68.8,CUET,33118,Arts,BJMC,Yes,2025-05-27,2025-07-20,+917787884512,delhiuniversity@edu.in
Anna University,Gujarat,Ahmedabad,176100,280996,4.2,4,5,4,3,3,4,Male,85.9,CUET,32310,Commerce,BCom,No,2025-02-05,2025-04-16,+918703041722,annauniversity@edu.in
VIT Vellore,Uttar Pradesh,Noida,84887,73344,4.6,3,5,5,5,5,5,Male,76.1,CUET,23576,Medical,BDS,No,2025-06-18,2025-09-10,+918914367561,vitvellore@edu.in
Christ University,Tamil Nadu,Madurai,279102,246926,3.2,3,5,3,3,3,3,Male,68.8,CET,26212,Arts,BJMC,Yes,2025-05-11,2025-06-21,+917368068164,christuniversity@edu.in
SRM Institute,Punjab,Chandigarh,264537,88485,3.7,3,3,3,3,4,3,Female,73.6,JEE,32407,Engineering,Civil,No,2025-05-08,2025-07-01,+918334662967,srminstitute@edu.in
Jadavpur University,Maharashtra,Nagpur,119844,161742,4.4,4,5,5,4,5,3,Male,79.0,CET,24892,Engineering,CSE,Yes,2025-03-08,2025-05-06,+917183718224,jadavpuruniversity@edu.in
Amity University,Punjab,Chandigarh,205972,357276,3.3,3,5,3,5,4,4,Male,73.5,NEET,43219,Commerce,BCom,Yes,2025-06-13,2025-09-08,+919006883010,amityuniversity@edu.in
Christ University,Delhi,New Delhi,253827,268800,4.4,3,3,4,4,4,5,Female,90.2,JEE,20299,Medical,BDS,No,2025-04-10,2025-05-26,+918126526058,christuniversity@edu.in
IIT Bombay,Punjab,Chandigarh,156394,202561,4.9,5,5,4,4,4,3,Male,69.4,CET,23418,Arts,BJMC,Yes,2025-06-11,2025-09-06,+918305978100,iitbombay@edu.in
IIT Bombay,Karnataka,Mysore,130034,79083,3.6,5,4,5,5,5,3,Female,94.7,NEET,15213,Arts,BJMC,Yes,2025-05-21,2025-07-25,+919171582247,iitbombay@edu.in
Delhi University,West Bengal,Kolkata,64667,363871,3.4,5,3,3,4,5,4,Male,84.4,CET,16080,Medical,MBBS,No,2025-05-22,2025-06-26,+918088473133,delhiuniversity@edu.in
VIT Vellore,Punjab,Chandigarh,94029,257685,3.9,3,4,5,4,5,4,Female,92.7,CUET,26834,Arts,BA,No,2025-04-16,2025-06-27,+919027371515,vitvellore@edu.in
IIT Bombay,Tamil Nadu,Madurai,243611,395796,3.7,4,3,3,4,4,5,Male,65.8,NEET,45895,Arts,BJMC,No,2025-05-23,2025-06-26,+919491336233,iitbombay@edu.in
BITS Pilani,Karnataka,Mysore,286112,215066,3.8,5,3,4,4,4,3,Male,95.9,CET,26062,Engineering,Mechanical,No,2025-04-26,2025-06-01,+919577476472,bitspilani@edu.in
IIT Bombay,Rajasthan,Jaipur,115714,326325,4.7,4,3,3,3,4,4,Female,93.5,JEE,14847,Commerce,BBA,No,2025-01-11,2025-03-16,+919493541307,iitbombay@edu.in
Jadavpur University,West Bengal,Kolkata,147672,90939,4.0,4,3,4,4,3,5,Male,97.5,CUET,14489,Arts,BJMC,Yes,2025-05-19,2025-07-07,+917267637685,jadavpuruniversity@edu.in
SRM Institute,West Bengal,Kolkata,261570,310861,3.8,5,3,4,3,5,5,Female,95.3,JEE,47091,Medical,BDS,No,2025-01-03,2025-02-08,+917277596667,srminstitute@edu.in
Anna University,Delhi,New Delhi,236226,330025,4.1,4,4,5,3,5,4,Male,68.3,JEE,15870,Engineering,CSE,No,2025-05-06,2025-06-15,+918881691378,annauniversity@edu.in
VIT Vellore,Gujarat,Surat,94329,161831,3.2,3,5,5,5,3,4,Male,87.5,JEE,46319,Commerce,BBA,Yes,2025-05-04,2025-07-09,+919122345659,vitvellore@edu.in
BITS Pilani,Uttar Pradesh,Lucknow,212306,88810,3.4,4,3,3,4,3,3,Female,88.5,CET,37116,Commerce,BCom,No,2025-04-18,2025-07-09,+918451446524,bitspilani@edu.in
Delhi University,Uttar Pradesh,Lucknow,105854,133751,3.3,5,5,5,4,4,5,Male,97.4,CUET,40845,Medical,MBBS,No,2025-05-27,2025-08-07,+919384046099,delhiuniversity@edu.in
Anna University,Tamil Nadu,Madurai,158418,329081,3.6,3,3,3,5,4,5,Male,65.2,CET,18577,Arts,BA,No,2025-06-02,2025-08-31,+919921820857,annauniversity@edu.in
IIT Delhi,Gujarat,Ahmedabad,120683,84205,4.4,5,3,4,4,3,3,Male,84.6,CUET,22385,Engineering,ECE,Yes,2025-03-06,2025-06-01,+919108343500,iitdelhi@edu.in
VIT Vellore,Punjab,Chandigarh,249042,158074,3.1,5,3,4,3,4,3,Male,83.2,CET,42927,Arts,BA,No,2025-01-26,2025-02-26,+918130110271,vitvellore@edu.in
BITS Pilani,Tamil Nadu,Chennai,99229,318873,3.5,3,5,5,3,3,3,Male,87.6,CUET,37538,Commerce,BCom,No,2025-06-05,2025-08-29,+918973442071,bitspilani@edu.in
Delhi University,West Bengal,Kolkata,263136,347223,4.6,5,4,5,4,4,3,Female,75.0,NEET,27730,Arts,BA,No,2025-06-09,2025-08-17,+919708054516,delhiuniversity@edu.in
Delhi University,Tamil Nadu,Coimbatore,248195,373275,3.4,5,4,3,5,3,3,Female,85.9,CUET,48127,Engineering,Mechanical,Yes,2025-03-10,2025-05-08,+917774212989,delhiuniversity@edu.in
NIT Trichy,Gujarat,Surat,241784,332720,3.3,3,3,4,4,5,5,Female,93.9,CET,39431,Medical,BDS,Yes,2025-05-21,2025-08-06,+918285740656,nittrichy@edu.in
VIT Vellore,Uttar Pradesh,Noida,125353,224130,4.1,5,4,3,3,4,3,Male,93.1,JEE,8113,Commerce,BCom,No,2025-01-20,2025-04-10,+919178556157,vitvellore@edu.in
SRM Institute,Karnataka,Mysore,282777,233123,4.1,4,3,3,3,4,3,Female,72.9,JEE,9951,Medical,BDS,Yes,2025-03-25,2025-06-12,+918338094674,srminstitute@edu.in
NIT Trichy,Gujarat,Surat,97913,373456,3.7,3,4,4,5,3,4,Female,70.2,NEET,15711,Engineering,CSE,Yes,2025-02-16,2025-04-30,+918648096324,nittrichy@edu.in
